REGION,TIMESLICE,FUEL,YEAR,value
Atlantis,ID,HF,2014,0.0
Atlantis,ID,HF,2015,2.0567779199999996
Atlantis,ID,HF,2016,2.0567779199999996
Atlantis,ID,HF,2017,2.0567779199999996
Atlantis,ID,HF,2018,0.0
Atlantis,ID,HF,2019,0.0
Atlantis,ID,HF,2020,0.0
Atlantis,ID,HF,2021,0.0
Atlantis,ID,HF,2022,0.0
Atlantis,ID,HF,2023,0.0
Atlantis,ID,HF,2024,0.0
Atlantis,ID,HF,2025,0.0
Atlantis,ID,HF,2026,0.0
Atlantis,ID,HF,2027,0.0
Atlantis,ID,HF,2028,0.0
Atlantis,ID,HF,2029,0.0
Atlantis,ID,HF,2030,0.0
Atlantis,ID,HF,2031,0.0
Atlantis,ID,HF,2032,0.0
Atlantis,ID,HF,2033,0.0
Atlantis,ID,HF,2034,0.0
Atlantis,ID,HF,2035,0.0
Atlantis,ID,HF,2036,0.0
Atlantis,ID,HF,2037,0.0
Atlantis,ID,HF,2038,0.0
Atlantis,ID,HF,2039,0.0
Atlantis,ID,HF,2040,0.0
Atlantis,ID,DS,2014,0.0
Atlantis,ID,DS,2015,0.0
Atlantis,ID,DS,2016,0.0
Atlantis,ID,DS,2017,0.0
Atlantis,ID,DS,2018,0.0
Atlantis,ID,DS,2019,0.0
Atlantis,ID,DS,2020,0.0
Atlantis,ID,DS,2021,0.0
Atlantis,ID,DS,2022,0.0
Atlantis,ID,DS,2023,0.0
Atlantis,ID,DS,2024,0.0
Atlantis,ID,DS,2025,0.0
Atlantis,ID,DS,2026,0.0
Atlantis,ID,DS,2027,0.0
Atlantis,ID,DS,2028,0.0
Atlantis,ID,DS,2029,0.0
Atlantis,ID,DS,2030,0.0
Atlantis,ID,DS,2031,0.0
Atlantis,ID,DS,2032,0.0
Atlantis,ID,DS,2033,0.0
Atlantis,ID,DS,2034,0.0
Atlantis,ID,DS,2035,0.0
Atlantis,ID,DS,2036,0.0
